"Gen","Type","C1","C2","C3","T1","T2","T3"
"Gen-1","Target",19.5085261424538,23.8057965321932,27.4327168557793,26.3071499259677,27.9372853050008,23.0497170099989
"Gen-2","Target",20.8915360702667,27.3995216391049,28.8413607899565,33.9101437835488,20.0309923319146,28.1711743446067
"Gen-3","Target",31.6150195181835,22.5742368192878,24.4915831750259,19.6762113068253,33.7337164876517,33.9725866760127
"Gen-4","Target",19.111570448149,23.6728464558255,23.9125836389139,24.5696225760039,33.7774706925265,22.5884870442096
"Gen-5","Target",33.8428508511279,23.5875381596852,34.3228993546218,31.1237944408786,33.990349448286,23.4553791058715
"Gen-6","Target",30.7634855001234,25.2120475843549,20.3228318362962,32.8145652443636,31.7929670650046,20.3697193569969
"Gen-7","Target",18.2593057411723,34.0978269937914,18.8312924369238,25.5860545723699,20.0910582540091,25.4951178994961
"Gen-8","Target",32.6547610589769,20.8853101874702,23.4491310892627,30.7108672298491,26.1370931386482,26.4602047195658
"Gen-9","Target",20.7435373724438,18.2467330272775,26.0073498487473,26.3127501723357,28.5630473722704,21.9372769230977
"Gen-10","Target",29.9382040675264,31.7911916181911,25.0749050385784,21.2818253587466,29.3880012822337,21.8692376078106
"Gen-11","Target",22.203274829546,24.9937830807175,24.0445604766719,20.9141893819906,29.459207406966,22.2207424645312
"Gen-12","Target",27.6218931721523,23.0279895027634,28.080976170022,26.4326530115213,29.8244798670057,34.9316941171419
"Gen-13","Target",23.0149294491857,20.2770847016945,32.9172907886095,19.2011303955223,34.8264095645864,25.1633486493956
"Gen-14","Target",33.2629729090258,31.4592517097481,32.2152868178673,23.01639453182,27.4655284038745,24.8861978624482
"Gen-15","Target",20.5163234544452,27.7005570537876,20.7583290287293,20.2640964484308,33.5665659941733,24.2110698258039
"Gen-16","Target",24.7302154011559,29.8981208733749,20.757855649339,24.7397284915205,34.8567671489436,34.1890775139909
"Gen-17","Target",26.1025596337859,21.464849199634,31.4255147885997,19.8028899661731,30.3914181338623,31.4136292401236
"Gen-18","Target",18.0935079671908,18.4083344964311,19.7477250962984,19.5252465356607,30.9552511756774,21.6518127284944
"Gen-19","Target",24.9786709314212,33.3524945140816,24.9011451203842,21.1275961115025,34.784645332722,33.2305455638561
"Gen-20","Target",29.6732194519136,29.6167166936211,30.5361355929635,24.3583528122399,34.528026423417,26.3799743957352
"Gen-21","Target",26.6890614556614,25.2992511871271,26.0932566088159,34.0023478190415,32.2386008389294,30.6650546437595
"Gen-22","Target",34.6568855403457,20.7944305273704,32.5607062971685,25.3402583650313,19.4489454701543,34.6140345390886
"Gen-23","Target",33.4777249563485,19.9054986271076,18.765039322665,25.793868979672,23.2306884028949,20.1228870244231
"Gen-24","Target",31.0240386708174,18.0194809965324,21.0240807756782,22.4078314895742,27.2675871294923,20.395803718362
"Gen-25","Target",30.2307603203226,30.4902229772415,18.9278717318084,32.9889402585104,19.5290016920771,31.1957285115495
"Gen-26","Target",25.2539994232357,22.7485279766843,33.2512890663929,27.3580839640927,22.6454348021653,24.6665075803176
"Gen-27","Target",29.8076306527946,23.5635186233558,26.8402653685771,25.0444892540108,30.2586834426038,26.1913411375135
"Gen-28","Target",22.7048959233798,28.6992266736925,19.7685237552505,31.307618269464,34.5359848509543,20.5235306187533
"Gen-29","Target",24.6341357596684,19.7246965665836,23.3552292375825,27.1632921071723,28.4663388249464,28.9422837980092
"Gen-30","Target",23.5436168152373,34.5116051256191,29.5434045754373,19.5576517193113,23.8514836221002,24.101472283015
"Gen-31","Target",21.8637138442136,25.3766307535116,22.3800785031635,20.7019249503501,32.9988215372432,26.0609810971655
"Gen-32","Target",22.257759535918,22.114430379821,33.6705717768054,21.1171850659885,27.8478780381847,21.8386262683198
"Gen-33","Target",29.6660635769367,30.5326901476365,21.7334734657779,19.8327963801567,29.2084243986756,30.4561440388206
"Gen-34","Target",22.5115557508543,28.0995002591517,30.5315897623077,19.2522575901821,24.8345502421726,20.7802894278429
"Gen-35","Target",26.5170162429567,29.0215707235038,19.3656357084401,27.356226564385,33.4798077512532,26.4424580291379
"Gen-36","Target",30.0714109111577,28.2488743169233,18.6736834333278,34.9693565878551,27.6768774013035,22.3911275858991
